Exercise,Description,Snippet,Tests,Course fitting,Understandability,Creativity,Repetitiveness,Difficulty,Test coverage
extractFinalValue ,"Beschreibung: Ein Entry ist entweder ein Wert (Value), ein Alias auf einen anderen Namen (Alias), oder ein verschachteltes Feld (Nested) mit einem Entry; eine Env ist eine Liste von (Name,Entry)-Paaren. Die Funktion löst einen Entry durch bis zu zwei Namensauflösungen auf. Sie schaut zuerst einen Namen in der Env nach, folgt bei Alias dem referenzierten Namen ein weiteres Mal, und erwartet danach, dass das Ergebnis ein Value ist (auch innerhalb von Nested). Ist ein Name nicht vorhanden, die Kette zu lang oder landet nicht bei einem Value, gibt sie Nothing zurück, sonst Just mit dem Wert.","data Entry = Value Int | Alias String | Nested Entry deriving (Eq,Show)  
type Env = [(String,Entry)]  
extractFinalValue :: Env -> String -> Maybe Int  
extractFinalValue env key = undefined","extractFinalValue [(""a"",Alias ""b""),(""b"",Nested (Value 9))] ""a"" == Just 9
extractFinalValue [(""x"",Alias ""y"")] ""x"" == Nothing
extractFinalValue [(""k"",Value 5)] ""k"" == Just 5
extractFinalValue [(""n"",Alias ""n"")] ""n"" == Nothing",4,2,4,4,4,3
findCertifiedPilot ,"Beschreibung: Ein CrewMember ist entweder ein Pilot mit Name, Flugstunden und Zertifizierungsstatus oder ein Techniker mit Name und Wartungsgebiet; eine CrewDB ist eine Liste von (Name, CrewMember)-Paaren.","data CrewMember = Pilot String Int Bool | Technician String String deriving (Eq,Show)
type CrewDB = [(String,CrewMember)]
findCertifiedPilot :: String -> CrewDB -> Maybe Int
findCertifiedPilot name db = undefined","findCertifiedPilot ""Alice"" [(""Alice"",Pilot ""Alice"" 1200 True),(""Bob"",Technician ""Bob"" ""Avionics"")] == Just 1200
findCertifiedPilot ""Bob"" [(""Alice"",Pilot ""Alice"" 1200 True),(""Bob"",Technician ""Bob"" ""Avionics"")] == Nothing
findCertifiedPilot ""Eve"" [(""Carol"",Pilot ""Carol"" 800 False)] == Nothing
findCertifiedPilot ""Carol"" [(""Carol"",Pilot ""Carol"" 800 False)] == Nothing",5,3,3,4,3,4
resolveLink ,"Beschreibung: Ein ConfigEntry ist entweder ein fixer Wert (Fixed), ein Alias (Alias) auf einen anderen Namen oder ein Weiterleitungseintrag (Link) auf einen weiteren Namen; eine Env ist eine Liste von (Name,ConfigEntry)-Paaren. Die Funktion löst eine Konfiguration schrittweise auf, indem sie bis zu zwei Namensreferenzen (über Alias oder Link) nachschlägt und schließlich auf einen Fixed-Wert hofft. Sie schaut zuerst den Namen in der Env nach, folgt bei Bedarf einem Alias oder Link zu einem zweiten Namen (nochmaliges Lookup), und erwartet anschließend, dass der gefundene ConfigEntry ein Fixed ist. Ist ein Name nicht vorhanden, die Kette zu lang oder landet die Auflösung nicht bei einem Fixed, gibt die Funktion Nothing zurück, sonst Just mit dem Wert.","data ConfigEntry = Fixed Int | Alias String | Link String deriving (Eq,Show)
type Env = [(String,ConfigEntry)]
resolveLink :: Env -> String -> Maybe Int
resolveLink env name = undefined","resolveLink [(""a"",Alias ""b""),(""b"",Link ""c""),(""c"",Fixed 9)] ""a"" == Just 9
resolveLink [(""x"",Alias ""y"")] ""x"" == Nothing
resolveLink [(""k"",Link ""l""),(""l"",Alias ""m"")] ""k"" == Nothing
resolveLink [(""z"",Fixed 3)] ""z"" == Just 3",4,4,3,5,3,4
findQualifiedDriver ,"Beschreibung: Ein LicenseHolder ist entweder ein Fahrer (Driver) mit Name, Führerscheinklasse und Aktiv-Status oder ein Prüfer (Inspector) mit Name und Region; eine Registry ist eine Liste von (Name, LicenseHolder)-Paaren. Die Funktion sucht eine Person nach Namen und prüft, ob es sich um einen aktiven Fahrer mit Klasse ""B"" handelt. Sie schaut zuerst den Namen in der Registry nach, prüft dann, ob der LicenseHolder ein Driver mit Klasse ""B"" und Aktiv-Status True ist, und gibt in diesem Fall den Namen zurück. Wird der Name nicht gefunden, ist der LicenseHolder kein Fahrer mit Klasse ""B"" oder ist nicht aktiv, gibt sie Nothing zurück, sonst Just mit dem Namen.","data LicenseHolder = Driver String String Bool | Inspector String String deriving (Eq,Show)
type Registry = [(String,LicenseHolder)]
findQualifiedDriver :: String -> Registry -> Maybe String
findQualifiedDriver name registry = undefined","findQualifiedDriver ""Eva"" [(""Eva"",Driver ""Eva"" ""B"" True)] == Just ""Eva""
findQualifiedDriver ""Tom"" [(""Tom"",Driver ""Tom"" ""C"" True),(""Lisa"",Inspector ""Lisa"" ""Nord"")] == Nothing
findQualifiedDriver ""Lisa"" [(""Lisa"",Inspector ""Lisa"" ""Nord"")] == Nothing
findQualifiedDriver ""Eva"" [(""Eva"",Driver ""Eva"" ""B"" False)] == Nothing",4,4,3,4,3,4
findVeganChef ,"Beschreibung: Ein TeamMember ist entweder ein Koch (Chef) mit Name, Spezialität und Vegan-Status, oder eine Servicekraft (Waiter) mit Name und Erfahrung; ein KitchenTeam ist eine Liste von (Name,TeamMember)-Paaren. Die Funktion sucht einen TeamMember nach Namen und prüft, ob es sich um einen Koch handelt, der vegane Gerichte zubereiten kann. Sie sucht zuerst den Namen in der KitchenTeam-Liste, prüft dann ob der TeamMember ein Chef mit Vegan-Status True ist, und gibt in diesem Fall die Spezialität zurück. Wird der Name nicht gefunden oder ist es kein veganer Koch, gibt sie Nothing zurück, sonst Just mit der Spezialität.","data TeamMember = Chef String String Bool | Waiter String Int deriving (Eq,Show)
type KitchenTeam = [(String,TeamMember)]
findVeganChef :: String -> KitchenTeam -> Maybe String
findVeganChef name team = undefined","findVeganChef ""Lina"" [(""Lina"",Chef ""Lina"" ""Asiatisch"" True)] == Just ""Asiatisch""
findVeganChef ""Max"" [(""Lina"",Chef ""Lina"" ""Asiatisch"" True)] == Nothing
findVeganChef ""Sven"" [(""Sven"",Chef ""Sven"" ""Französisch"" False)] == Nothing
findVeganChef ""Emil"" [(""Emil"",Waiter ""Emil"" 4),(""Lina"",Chef ""Lina"" ""Asiatisch"" True)] == Nothing",4,4,3,4,3,4
resolveSettingLevel ,"Beschreibung: Ein Setting ist entweder ein fester Wert (Literal), ein Alias auf einen anderen Namen (Alias), oder ein Verweis auf einen Parent (ParentRef); eine Env ist eine Liste von (Name, Setting)-Paaren. Die Funktion löst ein Setting durch bis zu zwei Namensverfolgungen auf, um einen Literal-Wert zu erhalten. Sie schaut zuerst den gegebenen Namen in der Env nach, folgt bei Alias oder ParentRef dem referenzierten Namen noch einmal, und erwartet danach einen Literal-Eintrag. Ist ein Name nicht vorhanden, wird die Kette zu lang oder landet nicht bei einem Literal, gibt sie Nothing zurück, sonst Just mit dem Wert.","data Setting = Literal Int | Alias String | ParentRef String deriving (Eq,Show)
type Env = [(String,Setting)]
resolveSettingLevel :: Env -> String -> Maybe Int
resolveSettingLevel env name = undefined","resolveSettingLevel [(""main"",Alias ""base""),(""base"",ParentRef ""root""),(""root"",Literal 8)] ""main"" == Just 8
resolveSettingLevel [(""foo"",Alias ""bar""),(""bar"",Literal 5)] ""foo"" == Just 5
resolveSettingLevel [(""foo"",Alias ""bar"")] ""foo"" == Nothing
resolveSettingLevel [(""entry"",Literal 2)] ""entry"" == Just 2",4,4,3,4,3,4
resolveLayeredConfig ,"Beschreibung: Eine ConfigEntry ist entweder ein konkreter Wert (Concrete), ein Alias zu einem anderen Namen (Alias), oder eine Weiterleitung (Forward) auf einen weiteren Namen; eine Env ist eine Liste von (Name, ConfigEntry)-Paaren. Die Funktion löst einen ConfigEntry schrittweise auf, wobei sie bei Alias und Forward jeweils dem referenzierten Namen folgt (maximal zwei Namensauflösungen). Sie schaut zuerst den Startnamen in der Env nach, folgt falls nötig einem Alias oder einer Forward-Weiterleitung zu einem zweiten Namen, und erwartet am Ende einen Concrete-Wert. Ist ein Name nicht vorhanden, die Kette zu lang oder landet nicht bei Concrete, gibt sie Nothing zurück, sonst Just mit dem Wert.","data ConfigEntry = Concrete Int | Alias String | Forward String deriving (Eq,Show)
type Env = [(String,ConfigEntry)]
resolveLayeredConfig :: Env -> String -> Maybe Int
resolveLayeredConfig env key = undefined","resolveLayeredConfig [(""main"",Alias ""backup""),(""backup"",Forward ""final""),(""final"",Concrete 7)] ""main"" == Just 7
resolveLayeredConfig [(""a"",Concrete 2)] ""a"" == Just 2
resolveLayeredConfig [(""x"",Alias ""y"")] ""x"" == Nothing
resolveLayeredConfig [(""n"",Forward ""m""),(""m"",Alias ""z"")] ""n"" == Nothing",5,4,3,5,3,4
resolveNestedConfig ,"Beschreibung: Ein ConfigEntry ist entweder ein Wert (Number), ein Alias auf einen anderen Namen (Alias), oder ein Referenzfeld (FieldRef); eine Env ist eine Liste von (Name, ConfigEntry)-Paaren. Die Funktion löst einen ConfigEntry schrittweise bis zu zwei Mal auf, um einen Number-Wert zu erhalten. Sie schaut zuerst den Namen in der Env nach, folgt bei Bedarf dem Alias- oder FieldRef-Eintrag einmal weiter, und erwartet danach einen Number-Eintrag. Ist ein Name nicht vorhanden, die Kette zu lang oder landet nicht bei Number, gibt die Funktion Nothing zurück, sonst Just mit dem Wert.","data ConfigEntry = Number Int | Alias String | FieldRef String deriving (Eq,Show)
type Env = [(String,ConfigEntry)]
resolveNestedConfig :: Env -> String -> Maybe Int
resolveNestedConfig env key = undefined","resolveNestedConfig [(""main"",Alias ""port""),(""port"",Number 8080)] ""main"" == Just 8080
resolveNestedConfig [(""srv"",FieldRef ""missing"")] ""srv"" == Nothing
resolveNestedConfig [(""a"",Alias ""b""),(""b"",Alias ""c""),(""c"",Number 5)] ""a"" == Nothing
resolveNestedConfig [(""conf"",Number 42)] ""conf"" == Just 42",5,4,3,5,3,4
subThenSquareIfPositive ,"Beschreibung: Die Funktion zieht eine Zahl von einer anderen ab und quadriert das Ergebnis, falls es positiv ist. Sie berechnet zuerst die Differenz (x - y), dann prüft sie, ob das Ergebnis größer als 0 ist, und quadriert es. Wenn das Zwischenergebnis nicht positiv ist, gibt sie Nothing zurück, sonst Just mit dem Quadrat. Der gesamte Vorgang bricht beim ersten Fehler ab.","subThenSquareIfPositive :: Int -> Int -> Maybe Int
subThenSquareIfPositive x y = undefined","subThenSquareIfPositive 8 3 == Just 25
subThenSquareIfPositive 3 8 == Nothing
subThenSquareIfPositive 5 5 == Nothing
subThenSquareIfPositive 10 (-2) == Just 144",3,4,2,4,3,4
resolveDoubleRef ,"Beschreibung: Ein ConfigEntry ist entweder ein fester Wert (Fixed), ein Alias auf einen anderen Namen (Alias), oder ein Verweis (Ref) auf einen weiteren Namen; eine Env ist eine Liste von (Name, ConfigEntry)-Paaren. Die Funktion löst eine Konfiguration auf, indem sie bis zu zwei Namensreferenzen (über Alias oder Ref) verfolgt und schließlich einen Fixed-Wert extrahiert. Sie schaut zuerst den Startnamen in der Env nach, folgt bei Alias oder Ref dem genannten Namen ein zweites Mal (erneuter Lookup), und erwartet anschließend, dass der gefundene ConfigEntry ein Fixed ist. Ist ein Name nicht vorhanden, die Kette zu lang oder landet nicht bei einem Fixed, gibt sie Nothing zurück, sonst Just mit dem Wert.","data ConfigEntry = Fixed Int | Alias String | Ref String deriving (Eq,Show)
type Env = [(String,ConfigEntry)]
resolveDoubleRef :: Env -> String -> Maybe Int
resolveDoubleRef env key = undefined","resolveDoubleRef [(""a"",Alias ""b""),(""b"",Ref ""c""),(""c"",Fixed 42)] ""a"" == Just 42
resolveDoubleRef [(""x"",Alias ""z"")] ""x"" == Nothing
resolveDoubleRef [(""k"",Fixed 7)] ""k"" == Just 7
resolveDoubleRef [(""p"",Alias ""q""),(""q"",Alias ""r""),(""r"",Alias ""p"")] ""p"" == Nothing",5,4,3,5,3,4
,,,,,,,,,
Exercise,Course fitting,Understandability,Creativity,Repetitiveness,Difficulty,Test coverage,,,
monads,3.85,3.7,3,3.7,2.95,3.8,,,
