Exercise,Description,Snippet,Tests,Course fitting,Understandability,Creativity,Repetitiveness,Difficulty,Test coverage
peanoMult ,"Beschreibung: Multipliziert zwei Peano-Zahlen rekursiv nach Definition der natürlichen Zahlenarithmetik und gibt das Produkt als Peano zurück. Zero mal beliebig ergibt Zero.
","data Peano = Zero | Succ Peano deriving (Eq, Show)
peanoMult :: Peano -> Peano -> Peano
peanoMult Zero _ = undefined
peanoMult (Succ n) m = undefined
","peanoMult Zero Zero == Zero
peanoMult Zero (Succ (Succ Zero)) == Zero
peanoMult (Succ (Succ Zero)) Zero == Zero
peanoMult (Succ (Succ Zero)) (Succ (Succ (Succ Zero))) == Succ (Succ (Succ (Succ (Succ (Succ Zero)))))
",5,4,4,1,3,4
functorStorage ,"Beschreibung: Implementiert Functor für Storage, indem alle Dateinamen und Verzeichnisnamen transformiert werden, die enthaltenen Int-Werte und Teilstrukturen bleiben unverändert erhalten.
","data Storage a = File a Int | Dir a [Storage a] deriving (Eq, Show)
instance Functor Storage where
    fmap f (File x n) = undefined
    fmap f (Dir d xs) = undefined
","fmap length (File ""readme.txt"" 42) == File 10 42
fmap (++""!"") (File ""x"" 1) == File ""x!"" 1
fmap reverse (Dir ""folder"" [File ""x"" 1]) == Dir ""redlof"" [File ""x"" 1]
fmap (const ""A"") (Dir ""b"" [Dir ""c"" []]) == Dir ""A"" [Dir ""A"" []]
",5,3,4,1,3,4
lengthList ,"Beschreibung: Gibt die Anzahl der Elemente in einer eigenen List-Struktur zurück. Nil zählt als 0, Cons erhöht die Länge um 1 pro Element. Keine weiteren Bedingungen.

","data List a = Nil | Cons a (List a) deriving (Eq, Show)
lengthList :: List a -> Int
lengthList Nil = undefined
lengthList (Cons _ xs) = undefined
","lengthList Nil == 0
lengthList (Cons 42 Nil) == 1
lengthList (Cons 1 (Cons 2 (Cons 3 Nil))) == 3
lengthList (Cons 0 (Cons 0 (Cons 0 (Cons 0 Nil)))) == 4
",5,4,3,2,2,4
sortList ,Beschreibung: Sortiert eine eigene List-Struktur aufsteigend nach Ord und gibt die sortierte Liste zurück. Für Nil wird Nil zurückgegeben; sortiert rekursiv mit Einfügesortierung.,"data List a = Nil | Cons a (List a) deriving (Eq, Show)
sortList :: Ord a => List a -> List a
sortList Nil = undefined
sortList (Cons x xs) = undefined
","sortList Nil == Nil
sortList (Cons 3 Nil) == Cons 3 Nil
sortList (Cons 2 (Cons 1 (Cons 5 (Cons 3 Nil)))) == Cons 1 (Cons 2 (Cons 3 (Cons 5 Nil)))
sortList (Cons 8 (Cons 8 (Cons 8 Nil))) == Cons 8 (Cons 8 (Cons 8 Nil))
",5,2,4,2,5,2
takeWhileList ,"Beschreibung: Gibt die längste Präfix-Teil-Liste einer eigenen Liste zurück, deren Elemente ein Prädikat erfüllen; bricht beim ersten Nicht-Erfüllen ab. Nil liefert Nil.
","data List a = Nil | Cons a (List a) deriving (Eq, Show)
takeWhileList :: (a -> Bool) -> List a -> List a
takeWhileList p Nil = undefined
takeWhileList p (Cons x xs) = undefined
","takeWhileList (<3) Nil == Nil
takeWhileList (<3) (Cons 2 Nil) == Cons 2 Nil
takeWhileList (<3) (Cons 1 (Cons 2 (Cons 3 (Cons 1 Nil)))) == Cons 1 (Cons 2 Nil)
takeWhileList even (Cons 4 (Cons 6 (Cons 5 (Cons 8 Nil)))) == Cons 4 (Cons 6 Nil)

",5,3,4,2,4,3
containsTree ,"Beschreibung: Überprüft, ob ein gegebener Wert im Binärbaum enthalten ist; gibt True bei Fund, sonst False, Empty enthält nie ein Element.","data BinTree a = Empty | Node (BinTree a) a (BinTree a) deriving (Eq, Show)
containsTree :: Eq a => a -> BinTree a -> Bool
containsTree _ Empty = undefined
containsTree x (Node l v r) = undefined
","containsTree 3 Empty == False
containsTree 5 (Node Empty 5 Empty) == True
containsTree 4 (Node (Node Empty 2 Empty) 3 (Node Empty 4 Empty)) == True
containsTree 7 (Node (Node Empty 2 Empty) 3 (Node Empty 5 Empty)) == False
",5,4,4,2,3,4
sizeTree ,"Beschreibung: Berechnet die Gesamtanzahl der Knoten eines Binärbaums; gibt 0 für einen leeren Baum, sonst 1 plus die Größe beider Teilbäume zurück.
","data BinTree a = Empty | Node (BinTree a) a (BinTree a) deriving (Eq, Show)  
sizeTree :: BinTree a -> Int  
sizeTree Empty = undefined  
sizeTree (Node l _ r) = undefined
","sizeTree Empty == 0
sizeTree (Node Empty 1 Empty) == 1
sizeTree (Node (Node Empty 5 Empty) 3 (Node Empty 7 Empty)) == 3
sizeTree (Node (Node (Node Empty 1 Empty) 2 Empty) 4 Empty) == 3

",5,4,3,2,3,4
zipList ,"Beschreibung: Kombiniert zwei eigene List-Strukturen zu einer neuen Liste mit Paaren. Elemente werden bis zur kürzeren Liste gepaart; überschüssige Elemente werden ignoriert.
","data List a = Nil | Cons a (List a) deriving (Eq, Show)
zipList :: List a -> List b -> List (a, b)
zipList Nil _ = undefined
zipList _ Nil = undefined
zipList (Cons x xs) (Cons y ys) = undefined
","zipList Nil Nil == Nil
zipList (Cons 1 Nil) (Cons 'a' Nil) == Cons (1,'a') Nil
zipList (Cons 1 (Cons 2 Nil)) (Cons 'x' Nil) == Cons (1,'x') Nil
zipList (Cons 1 (Cons 2 Nil)) (Cons 'a' (Cons 'b' (Cons 'c' Nil))) == Cons (1,'a') (Cons (2,'b') Nil)

",5,4,4,2,4,2
flattenTree ,"Beschreibung: Wandelt einen Binärbaum in eine List-Struktur um, indem alle Werte inorder (links, Wurzel, rechts) gesammelt werden. Gibt Nil für einen leeren Baum zurück.

","data BinTree a = Empty | Node (BinTree a) a (BinTree a) deriving (Eq, Show)
data List a = Nil | Cons a (List a) deriving (Eq, Show)
flattenTree :: BinTree a -> List a
flattenTree Empty = undefined
flattenTree (Node l v r) = undefined
","flattenTree Empty == Nil
flattenTree (Node Empty 4 Empty) == Cons 4 Nil
flattenTree (Node (Node Empty 2 Empty) 3 (Node Empty 4 Empty)) == Cons 2 (Cons 3 (Cons 4 Nil))
flattenTree (Node (Node Empty 1 Empty) 5 (Node (Node Empty 7 Empty) 9 Empty)) == Cons 1 (Cons 5 (Cons 7 (Cons 9 Nil)))
",5,4,4,2,4,2
evalTerm ,"Beschreibung: Berechnet den Wert eines algebraischen Terms, indem Konstanten und die Grundoperationen Addition und Multiplikation ausgewertet werden; Variablen ergeben Fehler (Nothing).","data Term = Const Int | Var String | Add Term Term | Mul Term Term deriving (Eq, Show)
evalTerm :: Term -> Maybe Int
evalTerm (Const n) = undefined
evalTerm (Var _) = undefined
evalTerm (Add t1 t2) = undefined
evalTerm (Mul t1 t2) = undefined
","evalTerm (Const 3) == Just 3
evalTerm (Add (Const 2) (Const 5)) == Just 7
evalTerm (Mul (Const 2) (Add (Const 1) (Const 3))) == Just 8
evalTerm (Add (Var ""x"") (Const 4)) == Nothing

",3,3,3,4,3,4
,,,,,,,,,
Exercise,Course fitting,Understandability,Creativity,Repetitiveness,Difficulty,Test coverage,,,

types,4.35,3.5,3.7,2.3,3.35,3.35,,,

